packageName,url
markor,"https://github.com/gsantner/markor/releases/download/v2.12.1/net.gsantner.markor-v150-2.12.1-flavorDefault-release.apk"
keepass2android,"https://github.com/PhilippC/keepass2android/releases/download/v1.10-pre/keepass2android.keepass2android-1.10-pre.apk"
